date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_2_normalized,smart_3_normalized,smart_5_normalized,smart_7_normalized,smart_8_normalized,time_day,smart_192_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_196_normalized,smart_197_normalized,smart_198_normalized,smart_200_normalized,smart_254_normalized,end_date,vida_util_days,vida_util_restante,vida_util_restante_int
2016-01-01,S3011FTD,ST4000DM000,1.976651427858e-311,0,115,,98,100,84,,258.4166666666667,100.0,90.0,19.0,,,100,100,,,2016-04-12,360.375,102 days 00:00:00.000000000,102.0
2016-01-01,WD-WCC4N0397882,WDC WD30EFRX,1.4824899095664e-311,0,200,,178,200,100,,598.5833333333334,200.0,124.0,127.0,,200.0,200,100,100.0,,2016-04-24,712.4166666666666,114 days 00:00:00.000000000,114.0
2016-01-01,W0Q7G3JM,ST320LT007,1.581370405447e-312,0,117,,98,100,87,,1071.625,100.0,15.0,23.0,57.0,,100,100,,100.0,2016-04-28,1190.8333333333333,118 days 00:00:00.000000000,118.0
2016-01-01,WD-WMAV3J935957,WDC WD800AAJS,3.95382761547e-313,0,200,,134,200,200,,1357.2083333333333,200.0,200.0,113.0,,200.0,200,100,100.0,,2016-04-26,1473.0416666666667,116 days 00:00:00.000000000,116.0
2016-01-01,W0Q7FR76,ST320LT007,1.581370405447e-312,0,119,,98,100,87,,1073.375,100.0,13.0,26.0,53.0,,100,100,,100.0,2016-04-05,1169.3333333333333,95 days 00:00:00.000000000,95.0
2016-01-01,WD-WMAV3K823407,WDC WD1600AAJB,7.9071197618e-313,0,200,,136,200,200,,1207.0416666666667,200.0,200.0,105.0,,200.0,200,200,200.0,,2016-04-11,1307.8333333333333,101 days 00:00:00.000000000,101.0
2016-01-01,Z30177ZE,ST4000DM000,1.976651427858e-311,0,119,,93,100,78,,665.375,100.0,27.0,25.0,,,100,100,,,2016-01-17,681.375,16 days 00:00:00.000000000,16.0
2016-01-01,S300XRCA,ST4000DM000,1.976651427858e-311,0,117,,98,100,83,,230.33333333333334,100.0,84.0,22.0,,,100,100,,,2016-04-28,348.25,118 days 00:00:00.000000000,118.0
2016-01-01,W0Q7D8BK,ST320LT007,1.581370405447e-312,0,117,,98,100,87,,1103.75,100.0,35.0,31.0,53.0,,100,100,,100.0,2016-04-28,1223.0,118 days 00:00:00.000000000,118.0
2016-01-01,Z304JFAQ,ST4000DM000,1.976651427858e-311,0,111,,99,100,75,,42.583333333333336,100.0,97.0,29.0,,,100,100,,,2016-04-21,153.54166666666666,111 days 00:00:00.000000000,111.0
