"","smart_1_normalized","smart_3_normalized","smart_5_normalized","smart_7_normalized","time_day","smart_192_normalized","smart_193_normalized","smart_194_normalized","smart_197_normalized","smart_198_normalized","model_Bin"
"136","0.25","1","0.75","0.75",1613.29166666667,"0.75","0.75","1","0.75","0.96","other"
"137","0.25","0.75","0.75","0.25",272.291666666667,"0.75","0.25","0.75","0.75","0.96","ST40000DM000"
"138","0.75","0.25","0.75","0.75",1028.16666666667,"0.75","0.25","0.25","0.75","0.96","ST40000DM000"
"139","0.75","0.5","0.75","0.75",547.291666666667,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"140","0.75","0.75","0.75","0.25",129.041666666667,"0.75","0.25","0.25","0.75","0.96","ST40000DM000"
"141","1","0.5","0.75","0.75",1005.95833333333,"0.75","0.25","0.75","0.75","0.96","ST40000DM000"
"142","0.75","0.25","0.75","0.75",952.375,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"143","0.5","0.25","0.75","0.75",839.166666666667,"0.75","1","0.75","0.75","0.96","ST40000DM000"
"144","0.75","0.5","0.75","0.75",535.291666666667,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"145","0.25","0.25","0.75","0.75",840.541666666667,"0.75","0.25","0.25","0.75","0.96","ST40000DM000"
"146","0.75","0.75","0.75","0.75",1973.41666666667,"1","0.75","0.75","0.75","0.96","other"
"147","0.25","1","0.75","0.75",930.291666666667,"0.75","1","1","0.75","0.96","other"
"148","0.25","0.5","0.75","0.75",897.416666666667,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"149","0.5","0.25","0.75","0.75",919.875,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"150","0.25","0.5","0.75","0.75",952.25,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"151","0.75","0.75","0.75","0.25",275.291666666667,"0.75","0.25","0.75","0.75","0.96","ST40000DM000"
"152","0.75","0.5","0.75","0.25",35.2916666666667,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"153","0.25","0.75","0.75","0.25",36.2083333333333,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"154","0.75","0.75","0.75","0.25",36.25,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"155","0.25","0.5","0.75","0.25",81.3333333333333,"0.75","1","0.75","0.75","0.96","ST40000DM000"
"156","0.75","0.75","0.75","0.75",368.333333333333,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"157","0.25","1","0.75","0.75",811.5,"0.75","1","1","0.75","0.96","other"
"158","0.75","0.75","0.75","0.25",277.25,"0.75","0.25","0.75","0.75","0.96","ST40000DM000"
"159","0.5","0.75","0.75","0.25",368.333333333333,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"160","0.25","0.75","0.75","0.25",277.166666666667,"0.75","0.25","0.75","0.75","0.96","ST40000DM000"
"161","0.75","0.75","0.75","0.25",153.541666666667,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"162","1","1","1","0.75",205.416666666667,"1","1","1","1","0.96","other"
"163","0.25","1","0.75","0.75",1980.08333333333,"0.75","1","1","0.75","0.96","other"
"164","1","0.5","0.75","0.25",154.25,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"165","1","1","1","0.75",597.041666666667,"1","1","1","1","0.96","other"
"166","0.75","0.25","0.75","0.25",984.625,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"167","0.5","0.5","0.75","0.25",758.375,"0.75","1","0.75","0.75","0.96","ST40000DM000"
"168","0.25","0.5","0.75","0.25",170.5,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"169","1","1","1","0.75",712.416666666667,"1","1","1","1","0.96","other"
"170","0.25","0.75","1","0.75",0.583333333333333,"1","1","1","1","0.96","other"
"171","0.5","0.25","0.75","0.75",1074.70833333333,"0.75","1","0.75","0.75","0.96","other"
"172","1","0.75","1","0.75",186.125,"1","1","1","1","0.96","other"
"173","1","1","1","1",1533.29166666667,"1","1","1","1","0.96","other"
"174","1","1","1","1",1500.95833333333,"1","1","1","1","1","other"
"175","0.25","0.25","0.75","0.75",986.625,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"176","1","1","1","0.75",321.166666666667,"1","1","1","1","0.96","other"
"177","0.5","0.25","0.75","0.25",839.25,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"178","1","1","1","1",1472.66666666667,"1","1","1","1","1","other"
"179","1","1","1","1",1473.04166666667,"1","1","1","1","0.96","other"
"180","1","0.25","0.75","0.75",402.5,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"181","0.25","1","0.75","0.75",7.41666666666667,"0.75","1","1","0.75","0.96","other"
"182","0.5","0.25","0.75","0.75",1016.04166666667,"0.75","0.75","0.25","0.75","0.96","ST40000DM000"
"183","1","1","1","1",1478.25,"1","1","1","1","0.96","other"
"184","1","1","1","1",1471.70833333333,"1","1","1","1","0.96","other"
"185","1","0.25","0.75","0.75",811.041666666667,"0.75","0.25","0.25","0.75","0.96","ST40000DM000"
"186","0.5","0.25","0.75","0.25",830.291666666667,"0.75","0.75","0.75","0.75","0.01","ST40000DM000"
"187","1","1","1","1",2822.66666666667,"1","0.75","1","1","1","other"
"188","0.5","0.25","0.75","0.25",840.25,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"189","0.25","1","0.75","0.75",1797,"0.75","1","1","0.75","0.96","other"
"190","0.75","0.25","0.75","0.75",945.833333333333,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"191","0.75","0.25","0.75","0.75",867,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"192","0.25","0.75","0.75","0.75",1225.79166666667,"0.75","0.25","0.75","0.75","0.96","other"
"193","0.75","0.75","0.75","0.75",1190.83333333333,"0.75","0.25","0.75","0.75","0.96","other"
"194","0.5","0.75","0.75","0.25",348.25,"0.75","0.25","0.25","0.75","0.96","ST40000DM000"
"195","0.75","0.75","0.75","0.75",1223,"0.75","0.25","0.75","0.75","0.96","other"
"196","0.5","0.75","0.75","0.75",1225.70833333333,"0.75","0.25","0.75","0.75","0.96","other"
"197","0.25","0.75","0.75","0.75",531.208333333333,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"198","0.5","0.75","0.75","0.75",1242.75,"0.75","0.25","0.75","0.75","0.96","other"
"199","0.25","0.75","0.75","0.25",79.1666666666667,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"200","0.75","0.75","0.75","0.75",531.208333333333,"0.75","0.75","0.75","0.75","0.96","ST40000DM000"
"201","0.75","0.75","0.75","0.25",1244.33333333333,"0.75","0.25","0.75","0.75","0.96","other"
"202","0.75","0.75","0.75","0.25",348.25,"0.75","0.25","0.25","0.75","0.96","ST40000DM000"
"203","0.75","0.25","0.75","0.75",818.875,"0.75","0.25","0.75","0.75","0.96","ST40000DM000"
"204","1","0.75","0.75","0.75",447.291666666667,"0.75","0.25","0.25","0.75","0.96","ST40000DM000"
"205","0.25","1","0.75","0.75",1910.79166666667,"0.75","0.75","1","0.75","0.96","other"
